schedule,chunk,threads,pi,time
static,0,1,3.1415926536,0.152580
dynamic,0,1,3.1415926536,1.864398
guided,0,1,3.1415926536,0.138815
auto,0,1,3.1415926536,0.133531
static,1,1,3.1415926536,0.137866
dynamic,1,1,3.1415926536,1.983128
guided,1,1,3.1415926536,0.139720
auto,1,1,3.1415926536,0.137876
static,100,1,3.1415926536,0.137832
dynamic,100,1,3.1415926536,0.151717
guided,100,1,3.1415926536,0.131311
auto,100,1,3.1415926536,0.136882
static,1000,1,3.1415926536,0.135657
dynamic,1000,1,3.1415926536,0.139767
guided,1000,1,3.1415926536,0.134767
auto,1000,1,3.1415926536,0.136228
static,10000,1,3.1415926536,0.135164
dynamic,10000,1,3.1415926536,0.136301
guided,10000,1,3.1415926536,0.133556
auto,10000,1,3.1415926536,0.140316
static,100000,1,3.1415926536,0.138515
dynamic,100000,1,3.1415926536,0.135212
guided,100000,1,3.1415926536,0.136260
auto,100000,1,3.1415926536,0.135268
static,1000000,1,3.1415926536,0.137104
dynamic,1000000,1,3.1415926536,0.134165
guided,1000000,1,3.1415926536,0.132938
auto,1000000,1,3.1415926536,0.137493
static,0,2,3.1415926536,0.078290
dynamic,0,2,3.1415926536,1.852051
guided,0,2,3.1415926536,0.072243
auto,0,2,3.1415926536,0.070690
static,1,2,3.1415926536,0.854118
dynamic,1,2,3.1415926536,1.842925
guided,1,2,3.1415926536,0.069645
auto,1,2,3.1415926536,0.087601
static,100,2,3.1415926536,0.085805
dynamic,100,2,3.1415926536,0.086499
guided,100,2,3.1415926536,0.099765
auto,100,2,3.1415926536,0.085523
static,1000,2,3.1415926536,0.068895
dynamic,1000,2,3.1415926536,0.069805
guided,1000,2,3.1415926536,0.068733
auto,1000,2,3.1415926536,0.067814
static,10000,2,3.1415926536,0.093904
dynamic,10000,2,3.1415926536,0.069716
guided,10000,2,3.1415926536,0.068060
auto,10000,2,3.1415926536,0.068554
static,100000,2,3.1415926536,0.066605
dynamic,100000,2,3.1415926536,0.071411
guided,100000,2,3.1415926536,0.073463
auto,100000,2,3.1415926536,0.071896
static,1000000,2,3.1415926536,0.088708
dynamic,1000000,2,3.1415926536,0.069373
guided,1000000,2,3.1415926536,0.076671
auto,1000000,2,3.1415926536,0.096294
static,0,4,3.1415926536,0.058175
dynamic,0,4,3.1415926536,2.450411
guided,0,4,3.1415926536,0.044428
auto,0,4,3.1415926536,0.049329
static,1,4,3.1415926536,0.486888
dynamic,1,4,3.1415926536,2.412298
guided,1,4,3.1415926536,0.052603
auto,1,4,3.1415926536,0.055401
static,100,4,3.1415926536,0.060008
dynamic,100,4,3.1415926536,0.056974
guided,100,4,3.1415926536,0.045398
auto,100,4,3.1415926536,0.059262
static,1000,4,3.1415926536,0.053991
dynamic,1000,4,3.1415926536,0.035973
guided,1000,4,3.1415926536,0.047530
auto,1000,4,3.1415926536,0.055318
static,10000,4,3.1415926536,0.045861
dynamic,10000,4,3.1415926536,0.057234
guided,10000,4,3.1415926536,0.047340
auto,10000,4,3.1415926536,0.050406
static,100000,4,3.1415926536,0.052491
dynamic,100000,4,3.1415926536,0.039119
guided,100000,4,3.1415926536,0.042632
auto,100000,4,3.1415926536,0.043566
static,1000000,4,3.1415926536,0.044278
dynamic,1000000,4,3.1415926536,0.042783
guided,1000000,4,3.1415926536,0.046414
auto,1000000,4,3.1415926536,0.059069
static,0,8,3.1415926536,0.035199
dynamic,0,8,3.1415926536,2.095748
guided,0,8,3.1415926536,0.035807
auto,0,8,3.1415926536,0.037423
static,1,8,3.1415926536,0.376744
dynamic,1,8,3.1415926536,2.031875
guided,1,8,3.1415926536,0.041146
auto,1,8,3.1415926536,0.048681
static,100,8,3.1415926536,0.057199
dynamic,100,8,3.1415926536,0.042621
guided,100,8,3.1415926536,0.038273
auto,100,8,3.1415926536,0.037761
static,1000,8,3.1415926536,0.035168
dynamic,1000,8,3.1415926536,0.032164
guided,1000,8,3.1415926536,0.032111
auto,1000,8,3.1415926536,0.033638
static,10000,8,3.1415926536,0.032822
dynamic,10000,8,3.1415926536,0.031147
guided,10000,8,3.1415926536,0.030324
auto,10000,8,3.1415926536,0.031481
static,100000,8,3.1415926536,0.032655
dynamic,100000,8,3.1415926536,0.033480
guided,100000,8,3.1415926536,0.035515
auto,100000,8,3.1415926536,0.039074
static,1000000,8,3.1415926536,0.041104
dynamic,1000000,8,3.1415926536,0.040388
guided,1000000,8,3.1415926536,0.035776
auto,1000000,8,3.1415926536,0.035567
